ideGeracaoFonte,nomFonteGeracao,mdaEnergiaDespachadaGWh,mesReferencia,anoReferencia,dthProcessamento
1,Hidreletricas exclusive Itaipu,21074.7498414081,1,2000,
2,Itaipu,6523.7802920000,1,2000,
3,Oleo Diesel / Combustivel,112.0265934320,1,2000,
4,Gas Natural,512.5365000800,1,2000,
5,Carvao,772.9549083360,1,2000,
6,Eolicas,0E-10,1,2000,
7,Biomassas,0E-10,1,2000,
8,Nuclear,418.6094024000,1,2000,
9,Residuos Processos Industriais,0E-10,1,2000,
10,Energia produzida fora do SIN,,1,2000,
11,Hidreletricas exclusive Itaipu,20519.8233660021,2,2000,
12,Itaipu,6362.8317995000,2,2000,
13,Oleo Diesel / Combustivel,69.2149054650,2,2000,
14,Gas Natural,580.8425489391,2,2000,
15,Carvao,726.4825050102,2,2000,
16,Eolicas,0E-10,2,2000,
17,Biomassas,0E-10,2,2000,
18,Nuclear,400.6178721655,2,2000,
19,Residuos Processos Industriais,0E-10,2,2000,
20,Energia produzida fora do SIN,,2,2000,
21,Hidreletricas exclusive Itaipu,21184.9226266340,3,2000,
22,Itaipu,7593.2898240000,3,2000,
23,Oleo Diesel / Combustivel,78.1973496720,3,2000,
24,Gas Natural,513.0651755904,3,2000,
25,Carvao,685.7984580888,3,2000,
26,Eolicas,0E-10,3,2000,
27,Biomassas,0E-10,3,2000,
28,Nuclear,400.1871009600,3,2000,
29,Residuos Processos Industriais,0E-10,3,2000,
30,Energia produzida fora do SIN,20670.9750000000,3,2000,
31,Hidreletricas exclusive Itaipu,7128.3002000000,4,2000,
32,Itaipu,39.2871000000,4,2000,
33,Oleo Diesel / Combustivel,337.4032000000,4,2000,
34,Gas Natural,675.6017000000,4,2000,
35,Carvao,0E-10,4,2000,
36,Eolicas,0E-10,4,2000,
37,Biomassas,358.8856000000,4,2000,
38,Nuclear,0E-10,4,2000,
39,Residuos Processos Industriais,0E-10,4,2000,
40,Energia produzida fora do SIN,0E-10,4,2000,
41,Hidreletricas exclusive Itaipu,21986.3235000000,5,2000,
42,Itaipu,6814.9694000000,5,2000,
43,Oleo Diesel / Combustivel,101.4555000000,5,2000,
44,Gas Natural,503.2255000000,5,2000,
45,Carvao,725.8747000000,5,2000,
46,Eolicas,0E-10,5,2000,
47,Biomassas,0E-10,5,2000,
48,Nuclear,0E-10,5,2000,
49,Residuos Processos Industriais,0E-10,5,2000,
50,Energia produzida fora do SIN,,5,2000,
51,Hidreletricas exclusive Itaipu,20503.3986882353,6,2000,
52,Itaipu,6928.0302000000,6,2000,
53,Oleo Diesel / Combustivel,105.9984000000,6,2000,
54,Gas Natural,574.3316000000,6,2000,
55,Carvao,725.0015000000,6,2000,
56,Eolicas,0E-10,6,2000,
57,Biomassas,0E-10,6,2000,
58,Nuclear,0.0111000000,6,2000,
59,Residuos Processos Industriais,0E-10,6,2000,
60,Energia produzida fora do SIN,,6,2000,
61,Hidreletricas exclusive Itaipu,20243.0114300000,7,2000,
62,Itaipu,7423.0977000000,7,2000,
63,Oleo Diesel / Combustivel,130.2070000000,7,2000,
64,Gas Natural,540.0925000000,7,2000,
65,Carvao,607.4714000000,7,2000,
66,Eolicas,0E-10,7,2000,
67,Biomassas,0E-10,7,2000,
68,Nuclear,67.8807000000,7,2000,
69,Residuos Processos Industriais,0E-10,7,2000,
70,Energia produzida fora do SIN,,7,2000,
71,Hidreletricas exclusive Itaipu,20366.1559000000,8,2000,
72,Itaipu,7431.3229000000,8,2000,
73,Oleo Diesel / Combustivel,127.6278000000,8,2000,
74,Gas Natural,547.1182000000,8,2000,
75,Carvao,627.4963000000,8,2000,
76,Eolicas,0E-10,8,2000,
77,Biomassas,0E-10,8,2000,
78,Nuclear,672.3908000000,8,2000,
79,Residuos Processos Industriais,0E-10,8,2000,
80,Energia produzida fora do SIN,,8,2000,
81,Hidreletricas exclusive Itaipu,19379.0920903448,9,2000,
82,Itaipu,8093.2368400000,9,2000,
83,Oleo Diesel / Combustivel,80.3482300000,9,2000,
84,Gas Natural,500.2848000000,9,2000,
85,Carvao,397.3431000000,9,2000,
86,Eolicas,0E-10,9,2000,
87,Biomassas,0E-10,9,2000,
88,Nuclear,781.1716000000,9,2000,
89,Residuos Processos Industriais,0E-10,9,2000,
90,Energia produzida fora do SIN,,9,2000,
91,Hidreletricas exclusive Itaipu,22529.2772201549,10,2000,
92,Itaipu,7495.7192965521,10,2000,
93,Oleo Diesel / Combustivel,70.4159926834,10,2000,
94,Gas Natural,551.1550336196,10,2000,
95,Carvao,337.3005723176,10,2000,
96,Eolicas,0E-10,10,2000,
97,Biomassas,0E-10,10,2000,
98,Nuclear,537.4609122954,10,2000,
99,Residuos Processos Industriais,0E-10,10,2000,
100,Energia produzida fora do SIN,,10,2000,
101,Hidreletricas exclusive Itaipu,20175.4737900000,11,2000,
102,Itaipu,7448.2243000000,11,2000,
103,Oleo Diesel / Combustivel,100.3950000000,11,2000,
104,Gas Natural,548.4700000000,11,2000,
